get all image files
time used to extract image data: 25.536957502365112
time used to extract image data: 25.581159591674805
time used to extract image data: 25.66369104385376
time used to extract image data: 25.914123058319092
time used to extract image data: 25.787533283233643
time used to extract image data: 25.811089277267456
time used to extract image data: 25.873823404312134
time used to extract image data: 25.943012714385986
time used to extract image data: 25.929070472717285
time used to extract image data: 26.20565915107727
time used to extract image data: 26.069576263427734
time used to extract image data: 26.202043294906616
time used to extract image data: 26.26380157470703
time used to extract image data: 26.44956946372986
time used to extract image data: 26.621315479278564
time used to extract image data: 26.506580352783203
time used to extract image data: 26.462780237197876
time used to extract image data: 26.460176706314087
time used to extract image data: 26.9648494720459
time used to extract image data: 26.614485502243042
time used to extract image data: 26.894123554229736
time used to extract image data: 26.71348261833191
time used to extract image data: 26.712628841400146
time used to extract image data: 26.822794675827026
time used to extract image data: 26.8745539188385
time used to extract image data: 26.90211319923401
time used to extract image data: 27.017470121383667
time used to extract image data: 27.049476861953735
time used to extract image data: 27.109084606170654
time used to extract image data: 27.182525873184204
time used to extract image data: 27.268054008483887
time used to extract image data: 27.308406114578247
time used to extract image data: 27.349539041519165
time used to extract image data: 27.31619691848755
time used to extract image data: 27.43209218978882
time used to extract image data: 27.4679434299469
time used to extract image data: 27.526026725769043
time used to extract image data: 27.631165981292725
time used to extract image data: 27.656532287597656
time used to extract image data: 27.725889444351196
time used to extract image data: 27.84704065322876
time used to extract image data: 27.887795209884644
time used to extract image data: 28.22409176826477
time used to extract image data: 28.128724098205566
time used to extract image data: 28.270156383514404
time used to extract image data: 27.984683513641357
time used to extract image data: 28.215518951416016
time used to extract image data: 28.37039566040039
time used to extract image data: 28.2205650806427
time used to extract image data: 28.204955101013184
time used to extract image data: 28.300187826156616
time used to extract image data: 28.353678226470947
time used to extract image data: 28.39034128189087
time used to extract image data: 28.473779916763306
time used to extract image data: 28.549739837646484
time used to extract image data: 28.52411961555481
time used to extract image data: 28.612354278564453
time used to extract image data: 28.72143864631653
time used to extract image data: 28.94269323348999
time used to extract image data: 28.775434494018555
time used to extract image data: 28.81078600883484
time used to extract image data: 28.918325901031494/home/chaofeng/.local/lib/python3.5/site-packages/sklearn/cross_validation.py:41: DeprecationWarning: This module was deprecated in version 0.18 in favor of the model_selection module into which all the refactored classes and functions are moved. Also note that the interface of the new CV iterators are different from that of this module. This module will be removed in 0.20.
  "This module will be removed in 0.20.", DeprecationWarning)

time used to extract image data: 29.023963689804077
time used to extract image data: 29.33384084701538
time used to extract image data: 29.124114990234375
time used to extract image data: 29.48637104034424
time used to extract image data: 29.166550874710083
time used to extract image data: 29.285569190979004
time used to extract image data: 29.75480318069458
time used to extract image data: 29.36813759803772
time used to extract image data: 29.448469161987305
time used to extract image data: 29.32811689376831
time used to extract image data: 29.47395610809326
time used to extract image data: 29.61686635017395
time used to extract image data: 29.517772674560547
time used to extract image data: 29.65413808822632
time used to extract image data: 29.6032292842865
time used to extract image data: 29.686434984207153
time used to extract image data: 30.238109827041626
time used to extract image data: 30.422065019607544
time used to extract image data: 30.18104100227356
time used to extract image data: 30.057317972183228
time used to extract image data: 29.980018615722656
time used to extract image data: 30.31875777244568
time used to extract image data: 30.177980422973633
time used to extract image data: 30.182746648788452
time used to extract image data: 30.39376926422119
time used to extract image data: 30.489797353744507
time used to extract image data: 30.724135160446167
time used to extract image data: 30.456316471099854
time used to extract image data: 30.5486261844635
time used to extract image data: 30.60309648513794
time used to extract image data: 30.692363023757935
time used to extract image data: 34.11525774002075
time used to extract image data: 31.239551067352295
time used to extract image data: 31.13099503517151
time used to extract image data: 31.381529569625854
time used to extract image data: 31.165586948394775
time used to extract image data: 31.6951425075531
time used to extract image data: 31.303792238235474
time used to extract image data: 33.02679443359375
time used to extract image data: 31.630520820617676
time used to extract image data: 31.4009907245636
time used to extract image data: 31.332491874694824
time used to extract image data: 31.43834090232849
time used to extract image data: 31.82279348373413
time used to extract image data: 32.144737005233765
time used to extract image data: 32.16800832748413
time used to extract image data: 32.34069800376892
time used to extract image data: 32.113542556762695
time used to extract image data: 31.991313934326172
time used to extract image data: 31.922125577926636
time used to extract image data: 32.069802045822144
time used to extract image data: 32.15386152267456
time used to extract image data: 32.46003985404968
time used to extract image data: 32.39603018760681
time used to extract image data: 32.2678542137146
time used to extract image data: 32.249242067337036
time used to extract image data: 32.36138319969177
time used to extract image data: 32.50374174118042
time used to extract image data: 32.74467587471008
time used to extract image data: 32.89737868309021
time used to extract image data: 32.829288482666016
time used to extract image data: 32.54490351676941
time used to extract image data: 32.6753306388855
time used to extract image data: 32.738306522369385
time used to extract image data: 33.008660554885864
time used to extract image data: 32.7128586769104
time used to extract image data: 32.82779288291931
time used to extract image data: 35.957608699798584
time used to extract image data: 37.282382011413574
time used to extract image data: 35.007447719573975
time used to extract image data: 33.76421761512756
time used to extract image data: 33.04604172706604
time used to extract image data: 33.0060498714447
time used to extract image data: 33.267791748046875
time used to extract image data: 33.28808355331421
time used to extract image data: 32.97473359107971
time used to extract image data: 33.19013690948486
time used to extract image data: 32.97869610786438
time used to extract image data: 33.089943647384644
time used to extract image data: 32.98970127105713
time used to extract image data: 33.37969946861267
time used to extract image data: 33.33960771560669
time used to extract image data: 33.64593863487244
time used to extract image data: 33.164878845214844
time used to extract image data: 33.13221621513367
time used to extract image data: 33.21741247177124
time used to extract image data: 33.390960693359375
time used to extract image data: 33.175955057144165
time used to extract image data: 33.28805088996887
time used to extract image data: 33.274306535720825
time used to extract image data: 33.240933895111084
time used to extract image data: 33.47913599014282
time used to extract image data: 33.22170305252075
time used to extract image data: 33.314029932022095
time used to extract image data: 33.344050884246826
time used to extract image data: 33.28825306892395
time used to extract image data: 33.36024713516235
time used to extract image data: 33.3594446182251
time used to extract image data: 33.40047836303711
time used to extract image data: 33.414740800857544
time used to extract image data: 33.93546724319458
time used to extract image data: 33.41265535354614
time used to extract image data: 33.47125029563904
time used to extract image data: 33.52111625671387
time used to extract image data: 33.732617139816284
time used to extract image data: 33.52963185310364
time used to extract image data: 33.56511950492859
time used to extract image data: 33.583964824676514
time used to extract image data: 33.68899941444397
time used to extract image data: 33.603885650634766
time used to extract image data: 33.6727454662323
time used to extract image data: 33.73037767410278
time used to extract image data: 33.79732823371887
time used to extract image data: 33.77629852294922
time used to extract image data: 33.88835835456848
time used to extract image data: 33.7868492603302
time used to extract image data: 33.79648947715759
time used to extract image data: 33.94231128692627
time used to extract image data: 34.281105041503906
time used to extract image data: 34.02540159225464
time used to extract image data: 34.01055955886841
time used to extract image data: 34.082619428634644
time used to extract image data: 34.279666900634766
time used to extract image data: 34.096874713897705
time used to extract image data: 34.76220369338989
time used to extract image data: 34.2161500453949
time used to extract image data: 34.215827226638794
time used to extract image data: 36.163318157196045
time used to extract image data: 41.687631368637085
time used to extract image data: 35.70864963531494
time used to extract image data: 36.823928117752075
time used to extract image data: 34.814502000808716
time used to extract image data: 34.27452111244202
time used to extract image data: 34.369853496551514
time used to extract image data: 34.58270597457886
time used to extract image data: 34.386711835861206
time used to extract image data: 34.48818588256836
time used to extract image data: 34.41407322883606
time used to extract image data: 34.49665570259094
time used to extract image data: 34.603015422821045
time used to extract image data: 34.62306761741638
time used to extract image data: 34.59259581565857
time used to extract image data: 34.75582194328308
time used to extract image data: 35.02875113487244
time used to extract image data: 34.78050255775452
time used to extract image data: 34.8929808139801
time used to extract image data: 34.90067934989929
time used to extract image data: 35.03646802902222
time used to extract image data: 35.1810736656189
time used to extract image data: 35.15679478645325
time used to extract image data: 35.59320521354675
time used to extract image data: 35.43860912322998
time used to extract image data: 35.76496148109436
time used to extract image data: 35.683886766433716
time used to extract image data: 36.024662494659424
time used to extract image data: 35.5547661781311
time used to extract image data: 35.547091484069824
time used to extract image data: 35.65280628204346
time used to extract image data: 35.71130871772766
time used to extract image data: 35.77823066711426
time used to extract image data: 36.53030800819397
time used to extract image data: 36.04608082771301
time used to extract image data: 35.91270399093628
time used to extract image data: 36.10938739776611
time used to extract image data: 36.70173454284668
time used to extract image data: 36.36702251434326
time used to extract image data: 36.52186322212219
time used to extract image data: 36.21393275260925
time used to extract image data: 36.482240200042725
time used to extract image data: 36.272279024124146
time used to extract image data: 36.34062838554382
time used to extract image data: 36.35662484169006
time used to extract image data: 36.47032427787781
time used to extract image data: 36.58906149864197
time used to extract image data: 36.92377257347107
time used to extract image data: 36.62879991531372
time used to extract image data: 36.701560497283936
time used to extract image data: 36.95357322692871
time used to extract image data: 36.83693218231201
time used to extract image data: 36.95999026298523
time used to extract image data: 37.35311317443848
time used to extract image data: 37.28285479545593
time used to extract image data: 37.119959354400635
time used to extract image data: 37.15283226966858
time used to extract image data: 37.32705616950989
time used to extract image data: 37.350300788879395
time used to extract image data: 37.97029209136963
time used to extract image data: 37.55559229850769
time used to extract image data: 37.72161793708801
time used to extract image data: 38.033037424087524
time used to extract image data: 37.965116024017334
time used to extract image data: 38.026217222213745
time used to extract image data: 38.15574789047241
time used to extract image data: 38.49273896217346
time used to extract image data: 38.346784830093384
time used to extract image data: 38.44501733779907
time used to extract image data: 38.60216951370239
time used to extract image data: 38.81802988052368
time used to extract image data: 38.64430594444275
time used to extract image data: 38.76579236984253
time used to extract image data: 38.9987473487854
time used to extract image data: 38.939740896224976
time used to extract image data: 38.96648907661438
time used to extract image data: 38.9141788482666
time used to extract image data: 39.26214146614075
time used to extract image data: 39.353962659835815
time used to extract image data: 39.38108992576599
time used to extract image data: 39.2481255531311
time used to extract image data: 39.486119985580444
time used to extract image data: 39.312952518463135
time used to extract image data: 39.32554769515991
